setup,pos_class,feature_set,auc,f1,acc
real_vs_fake,fake,FULL,1.0,1.0,1.0
real_vs_fake,fake,CLEAN,0.752,0.71,0.702
real_vs_fake,fake,HNR,0.787,0.728,0.729
real_vs_fake,fake,VRI,0.419,0.414,0.444
real_vs_realvoc,real_vocoded,FULL,1.0,1.0,1.0
real_vs_realvoc,real_vocoded,CLEAN,0.271,0.349,0.332
real_vs_realvoc,real_vocoded,HNR,0.456,0.499,0.485
real_vs_realvoc,real_vocoded,VRI,0.365,0.408,0.398
realvoc_vs_fake,fake,FULL,0.988,0.941,0.942
realvoc_vs_fake,fake,CLEAN,0.714,0.67,0.658
realvoc_vs_fake,fake,HNR,0.743,0.683,0.681
realvoc_vs_fake,fake,VRI,0.507,0.498,0.527
