feature,cohen_d,eta2_label,eta2_singer,ratio_L/S,判定
f0_range_semitones,-0.07,0.001,0.003,0.36,歌手身份特征
hnr_low_ratio,0.56,0.073,0.236,0.31,歌手身份特征
energy_dynamic,-0.26,0.016,0.071,0.23,歌手身份特征
periodicity_score,0.21,0.01,0.05,0.21,歌手身份特征
mfcc_2_mean,0.33,0.027,0.186,0.15,歌手身份特征
spectral_flatness_mean,0.16,0.006,0.075,0.08,歌手身份特征
vri_score,0.08,0.001,0.018,0.08,歌手身份特征
f0_std,-0.08,0.002,0.042,0.04,歌手身份特征
vibrato_depth_std,-0.06,0.001,0.029,0.04,歌手身份特征
hnr_std,0.15,0.005,0.209,0.03,歌手身份特征
vibrato_rate_std,0.03,0.0,0.012,0.02,歌手身份特征
hnr_mean,-0.21,0.011,0.471,0.02,歌手身份特征
long_note_stability,-0.04,0.0,0.02,0.02,歌手身份特征
vibrato_depth_mean,-0.04,0.0,0.121,0.0,歌手身份特征
micro_variation,-0.02,0.0,0.042,0.0,歌手身份特征
f0_jitter,0.05,0.001,0.134,0.0,歌手身份特征
vibrato_rate_mean,0.0,0.0,0.008,0.0,歌手身份特征
f0_mean,-0.01,0.0,0.08,0.0,歌手身份特征
