group,singer,held_song,acc,f1,auc
vri,singer_a,dearfriend,0.4355,0.5205,0.4365
vri,singer_a,kaishidongle,0.4853,0.507,0.5182
vri,singer_a,tiankong2,0.4815,0.5172,0.4609
vri,singer_b,kaishidongle,0.4576,0.4667,0.5145
vri,singer_b,tianheihei,0.5102,0.52,0.5592
vri,singer_b,woyaodexingfu,0.5714,0.4878,0.5661
vri,singer_c,juhao,0.5517,0.5357,0.5749
vri,singer_c,tiankong,0.6087,0.5846,0.6395
vri,singer_c,walkonwater,0.6154,0.6429,0.6598
vri,,MEAN,,,0.5477
voice_quality,singer_a,dearfriend,0.6452,0.6667,0.6733
voice_quality,singer_a,kaishidongle,0.4853,0.4444,0.5013
voice_quality,singer_a,tiankong2,0.7037,0.7241,0.7428
voice_quality,singer_b,kaishidongle,0.7966,0.7857,0.7853
voice_quality,singer_b,tianheihei,0.7143,0.6667,0.7
voice_quality,singer_b,woyaodexingfu,0.6327,0.625,0.74
voice_quality,singer_c,juhao,0.7931,0.7778,0.8805
voice_quality,singer_c,tiankong,0.8841,0.8919,0.8723
voice_quality,singer_c,walkonwater,0.9423,0.9434,0.9808
voice_quality,,MEAN,,,0.764
CLEAN,singer_a,dearfriend,0.5806,0.6176,0.6556
CLEAN,singer_a,kaishidongle,0.5441,0.4561,0.5917
CLEAN,singer_a,tiankong2,0.5556,0.6364,0.6674
CLEAN,singer_b,kaishidongle,0.7458,0.717,0.783
CLEAN,singer_b,tianheihei,0.6531,0.5854,0.7483
CLEAN,singer_b,woyaodexingfu,0.7347,0.7547,0.8211
CLEAN,singer_c,juhao,0.8103,0.807,0.8948
CLEAN,singer_c,tiankong,0.8261,0.8462,0.8508
CLEAN,singer_c,walkonwater,0.9038,0.9057,0.9704
CLEAN,,MEAN,,,0.7759
FULL,singer_a,dearfriend,1.0,1.0,1.0
FULL,singer_a,kaishidongle,1.0,1.0,1.0
FULL,singer_a,tiankong2,1.0,1.0,1.0
FULL,singer_b,kaishidongle,1.0,1.0,1.0
FULL,singer_b,tianheihei,1.0,1.0,1.0
FULL,singer_b,woyaodexingfu,1.0,1.0,1.0
FULL,singer_c,juhao,1.0,1.0,1.0
FULL,singer_c,tiankong,1.0,1.0,1.0
FULL,singer_c,walkonwater,1.0,1.0,1.0
FULL,,MEAN,,,1.0
