protocol,outcome,n,hnr,hnr_low,voiced,flatness,score
CtrSVDD->Wild_all,FN,60,19.5,0.18,1.0,0.0178,0.42
CtrSVDD->Wild_all,FP,190,13.68,0.36,0.99,0.0228,0.678
CtrSVDD->Wild_all,TN,39,16.42,0.23,1.0,0.0186,0.405
CtrSVDD->Wild_all,TP,177,16.32,0.28,1.0,0.022,0.679
SingerLens->Wild_all,FN,227,17.17,0.25,1.0,0.0211,0.253
SingerLens->Wild_all,FP,12,14.97,0.31,1.0,0.0202,0.625
SingerLens->Wild_all,TN,217,14.1,0.34,1.0,0.0222,0.23
SingerLens->Wild_all,TP,10,15.96,0.25,1.0,0.0177,0.604
CtrSVDD->Wild_T02,FN,37,18.12,0.2,1.0,0.0205,0.417
CtrSVDD->Wild_T02,FP,187,13.7,0.36,0.99,0.0229,0.675
CtrSVDD->Wild_T02,TN,39,16.42,0.23,1.0,0.0186,0.405
CtrSVDD->Wild_T02,TP,124,15.9,0.28,1.0,0.0218,0.692
SingerLens->Wild_T02,FN,153,16.51,0.26,1.0,0.0216,0.246
SingerLens->Wild_T02,FP,9,15.77,0.27,1.0,0.02,0.618
SingerLens->Wild_T02,TN,217,14.1,0.34,1.0,0.0222,0.23
SingerLens->Wild_T02,TP,8,14.45,0.3,1.0,0.019,0.622
Wild_all_within,FN,53,14.08,0.34,1.0,0.0245,0.393
Wild_all_within,FP,41,14.97,0.32,0.98,0.0236,0.578
Wild_all_within,TN,188,13.96,0.34,1.0,0.0218,0.307
Wild_all_within,TP,184,18.0,0.23,1.0,0.02,0.724
