feature_set,pool,song,n_fake,fake_recall,hard
FULL,mean,chuanqi,34,0.794,False
FULL,mean,dearfriend,31,1.0,True
FULL,mean,hongdou,25,0.64,False
FULL,mean,jiangnan,32,0.0,False
FULL,mean,juhao,29,0.0,True
FULL,mean,kaishidongle,61,0.77,False
FULL,mean,kexiemeiruguo,33,0.061,False
FULL,mean,ruyuan,26,0.615,False
FULL,mean,shenqibaima,34,0.912,False
FULL,mean,shiluoshazhou,32,0.719,False
FULL,mean,tianheihei,24,0.958,True
FULL,mean,tiankong,34,0.029,False
FULL,mean,tiankong2,27,0.926,False
FULL,mean,walkonwater,26,0.0,False
FULL,mean,woyaodexingfu,23,0.739,False
FULL,mean,xiulianaiqing,32,0.094,False
FULL,mean,zuichudejiyi,30,0.567,False
FULL,max,chuanqi,34,1.0,False
FULL,max,dearfriend,31,1.0,True
FULL,max,hongdou,25,0.96,False
FULL,max,jiangnan,32,0.406,False
FULL,max,juhao,29,0.207,True
FULL,max,kaishidongle,61,0.984,False
FULL,max,kexiemeiruguo,33,0.394,False
FULL,max,ruyuan,26,0.846,False
FULL,max,shenqibaima,34,0.971,False
FULL,max,shiluoshazhou,32,1.0,False
FULL,max,tianheihei,24,1.0,True
FULL,max,tiankong,34,0.147,False
FULL,max,tiankong2,27,1.0,False
FULL,max,walkonwater,26,0.192,False
FULL,max,woyaodexingfu,23,1.0,False
FULL,max,xiulianaiqing,32,0.469,False
FULL,max,zuichudejiyi,30,1.0,False
CLEAN,mean,chuanqi,34,0.618,False
CLEAN,mean,dearfriend,31,0.774,True
CLEAN,mean,hongdou,25,0.72,False
CLEAN,mean,jiangnan,32,0.844,False
CLEAN,mean,juhao,29,0.103,True
CLEAN,mean,kaishidongle,61,0.492,False
CLEAN,mean,kexiemeiruguo,33,0.667,False
CLEAN,mean,ruyuan,26,0.808,False
CLEAN,mean,shenqibaima,34,0.794,False
CLEAN,mean,shiluoshazhou,32,0.562,False
CLEAN,mean,tianheihei,24,0.417,True
CLEAN,mean,tiankong,34,0.588,False
CLEAN,mean,tiankong2,27,0.889,False
CLEAN,mean,walkonwater,26,0.077,False
CLEAN,mean,woyaodexingfu,23,0.435,False
CLEAN,mean,xiulianaiqing,32,0.844,False
CLEAN,mean,zuichudejiyi,30,0.7,False
CLEAN,max,chuanqi,34,1.0,False
CLEAN,max,dearfriend,31,1.0,True
CLEAN,max,hongdou,25,1.0,False
CLEAN,max,jiangnan,32,0.969,False
CLEAN,max,juhao,29,0.655,True
CLEAN,max,kaishidongle,61,0.967,False
CLEAN,max,kexiemeiruguo,33,0.909,False
CLEAN,max,ruyuan,26,1.0,False
CLEAN,max,shenqibaima,34,1.0,False
CLEAN,max,shiluoshazhou,32,0.969,False
CLEAN,max,tianheihei,24,1.0,True
CLEAN,max,tiankong,34,0.971,False
CLEAN,max,tiankong2,27,1.0,False
CLEAN,max,walkonwater,26,0.769,False
CLEAN,max,woyaodexingfu,23,0.957,False
CLEAN,max,xiulianaiqing,32,0.969,False
CLEAN,max,zuichudejiyi,30,1.0,False
HNR,mean,chuanqi,34,0.559,False
HNR,mean,dearfriend,31,0.774,True
HNR,mean,hongdou,25,0.68,False
HNR,mean,jiangnan,32,0.812,False
HNR,mean,juhao,29,0.276,True
HNR,mean,kaishidongle,61,0.656,False
HNR,mean,kexiemeiruguo,33,0.606,False
HNR,mean,ruyuan,26,0.577,False
HNR,mean,shenqibaima,34,0.529,False
HNR,mean,shiluoshazhou,32,0.375,False
HNR,mean,tianheihei,24,0.333,True
HNR,mean,tiankong,34,0.618,False
HNR,mean,tiankong2,27,0.778,False
HNR,mean,walkonwater,26,0.038,False
HNR,mean,woyaodexingfu,23,0.391,False
HNR,mean,xiulianaiqing,32,0.75,False
HNR,mean,zuichudejiyi,30,0.467,False
HNR,max,chuanqi,34,1.0,False
HNR,max,dearfriend,31,1.0,True
HNR,max,hongdou,25,0.96,False
HNR,max,jiangnan,32,1.0,False
HNR,max,juhao,29,0.828,True
HNR,max,kaishidongle,61,1.0,False
HNR,max,kexiemeiruguo,33,0.97,False
HNR,max,ruyuan,26,1.0,False
HNR,max,shenqibaima,34,1.0,False
HNR,max,shiluoshazhou,32,0.969,False
HNR,max,tianheihei,24,0.875,True
HNR,max,tiankong,34,0.882,False
HNR,max,tiankong2,27,1.0,False
HNR,max,walkonwater,26,0.885,False
HNR,max,woyaodexingfu,23,1.0,False
HNR,max,xiulianaiqing,32,1.0,False
HNR,max,zuichudejiyi,30,1.0,False
